Date,Revenue,Visitors,Buyers,Orders,Pageviews,Units Sold,Conversion Rate,Revenue per Buyer,Visitor Value,Add to Cart Visitors,Add to Cart Units,Wishlists,Wishlist Visitor
2018-09-30,0.0,40,0,0,119,0,0.00%,0.0,0.0,2,3,2,1
2018-10-01,0.0,36,0,0,106,0,0.00%,0.0,0.0,0,0,1,1
2018-10-02,0.0,43,0,0,127,0,0.00%,0.0,0.0,2,3,1,1
2018-10-03,0.0,31,0,0,86,0,0.00%,0.0,0.0,3,4,-,-
2018-10-04,0.0,32,0,0,95,0,0.00%,0.0,0.0,1,1,-,-
2018-10-05,0.0,38,0,0,125,0,0.00%,0.0,0.0,1,1,1,1
2018-10-06,0.0,34,0,0,132,0,0.00%,0.0,0.0,2,4,-,-
2018-10-07,0.0,37,0,0,123,0,0.00%,0.0,0.0,1,1,-,-
2018-10-08,0.0,40,0,0,113,0,0.00%,0.0,0.0,1,1,-,-
2018-10-09,0.0,39,0,0,109,0,0.00%,0.0,0.0,3,3,-,-
2018-10-10,60.18,33,1,1,85,1,3.03%,60.18,1.82,1,1,-,-
2018-10-11,0.0,45,0,0,129,0,0.00%,0.0,0.0,2,3,-,-
2018-10-12,0.0,37,0,0,74,0,0.00%,0.0,0.0,0,0,-,-
2018-10-13,0.0,29,0,0,69,0,0.00%,0.0,0.0,3,3,-,-
2018-10-14,0.0,32,0,0,97,0,0.00%,0.0,0.0,1,1,-,-
2018-10-15,51.09,42,1,1,120,1,2.38%,51.09,1.22,1,1,-,-
2018-10-16,0.0,40,0,0,143,0,0.00%,0.0,0.0,3,5,-,-
2018-10-17,455.18,32,1,1,104,1,3.12%,455.18,14.22,2,2,-,-
2018-10-18,51.09,47,1,1,139,1,2.13%,51.09,1.09,2,2,1,1
2018-10-19,0.0,37,0,0,168,0,0.00%,0.0,0.0,2,4,-,-
2018-10-20,0.0,48,0,0,171,0,0.00%,0.0,0.0,2,2,-,-
2018-10-21,206.09,40,1,1,99,1,2.50%,206.09,5.15,2,2,-,-
2018-10-22,0.0,46,0,0,157,0,0.00%,0.0,0.0,3,3,2,2
2018-10-23,0.0,43,0,0,99,0,0.00%,0.0,0.0,3,3,2,2
2018-10-24,0.0,42,0,0,125,0,0.00%,0.0,0.0,1,1,-,-
2018-10-25,51.09,46,1,1,140,1,2.17%,51.09,1.11,5,6,1,1
2018-10-26,486.1,39,1,1,149,1,2.56%,486.1,12.46,2,4,1,1
2018-10-27,51.09,42,1,1,131,1,2.38%,51.09,1.22,2,2,-,-
2018-10-28,0.0,40,0,0,140,0,0.00%,0.0,0.0,2,2,1,1
2018-10-29,0.0,50,0,0,179,0,0.00%,0.0,0.0,1,1,-,-
2018-10-30,0.0,36,0,0,144,0,0.00%,0.0,0.0,0,0,-,-
2018-10-31,0.0,39,0,0,95,0,0.00%,0.0,0.0,4,5,-,-
2018-11-01,0.0,45,0,0,101,0,0.00%,0.0,0.0,2,3,-,-
2018-11-02,0.0,42,0,0,132,0,0.00%,0.0,0.0,3,3,-,-
2018-11-03,0.0,32,0,0,135,0,0.00%,0.0,0.0,3,4,2,1
2018-11-04,0.0,28,0,0,64,0,0.00%,0.0,0.0,1,1,7,1
2018-11-05,0.0,41,0,0,115,0,0.00%,0.0,0.0,2,3,1,1
2018-11-06,0.0,41,0,0,113,0,0.00%,0.0,0.0,0,0,2,2
2018-11-07,0.0,53,0,0,188,0,0.00%,0.0,0.0,1,1,-,-
2018-11-08,0.0,30,0,0,109,0,0.00%,0.0,0.0,0,0,-,-
2018-11-09,0.0,51,0,0,196,0,0.00%,0.0,0.0,1,1,-,-
2018-11-10,0.0,76,0,0,308,0,0.00%,0.0,0.0,1,2,-,-
2018-11-11,406.08,142,1,1,417,2,0.70%,406.08,2.86,5,8,1,1
2018-11-12,0.0,74,0,0,241,0,0.00%,0.0,0.0,2,2,-,-
2018-11-13,225.19,65,1,1,204,1,1.54%,225.19,3.46,6,6,-,-
2018-11-14,0.0,51,0,0,177,0,0.00%,0.0,0.0,2,2,-,-
2018-11-15,0.0,68,0,0,258,0,0.00%,0.0,0.0,4,6,1,1
2018-11-16,0.0,42,0,0,210,0,0.00%,0.0,0.0,0,0,-,-
2018-11-17,0.0,50,0,0,140,0,0.00%,0.0,0.0,3,3,2,2
2018-11-18,221.99,47,2,2,146,2,4.26%,110.99,4.72,5,7,1,1
2018-11-19,0.0,39,0,0,118,0,0.00%,0.0,0.0,2,3,-,-
2018-11-20,0.0,61,0,0,142,0,0.00%,0.0,0.0,2,2,-,-
2018-11-21,0.0,55,0,0,250,0,0.00%,0.0,0.0,4,5,1,1
2018-11-22,175.19,46,1,1,147,1,2.17%,175.19,3.81,2,2,-,-
2018-11-23,0.0,56,0,0,128,0,0.00%,0.0,0.0,3,3,-,-
2018-11-24,0.0,36,0,0,92,0,0.00%,0.0,0.0,4,7,1,1
2018-11-25,0.0,45,0,0,151,0,0.00%,0.0,0.0,1,1,1,1
2018-11-26,0.0,42,0,0,178,0,0.00%,0.0,0.0,2,2,1,1
2018-11-27,175.19,49,1,1,155,1,2.04%,175.19,3.58,2,2,-,-
2018-11-28,0.0,43,0,0,134,0,0.00%,0.0,0.0,1,1,1,1
2018-11-29,51.1,54,1,1,207,1,1.85%,51.1,0.95,3,3,1,1
